Year,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
2014,7.0,36054,Petrol,Dealer,Manual,0
2008,0.58,1900,Petrol,Individual,Automatic,0
2005,13.46,197176,Diesel,Dealer,Manual,0
2015,8.61,33429,Diesel,Dealer,Manual,0
2015,10.38,51000,Diesel,Dealer,Manual,0
2015,0.55,6700,Petrol,Individual,Manual,0
2015,1.9,14000,Petrol,Individual,Manual,0
2010,20.45,50024,Diesel,Dealer,Manual,0
2005,10.21,90000,Petrol,Individual,Manual,0
2014,6.87,42450,Diesel,Dealer,Manual,0
2016,8.5,15059,Petrol,Dealer,Automatic,0
2012,18.61,72000,Petrol,Dealer,Manual,0
2017,9.4,15141,Petrol,Dealer,Manual,0
2014,12.04,15000,Petrol,Dealer,Automatic,0
2016,1.5,8700,Petrol,Individual,Manual,0
2009,11.0,87934,Petrol,Dealer,Manual,0
2005,0.57,55000,Petrol,Individual,Manual,0
2012,9.4,36100,Petrol,Dealer,Manual,0
2014,6.4,19000,Petrol,Dealer,Manual,0
2006,7.6,50456,Petrol,Dealer,Manual,0
2015,6.82,31427,Petrol,Dealer,Automatic,0
2016,13.6,22671,Petrol,Dealer,Manual,0
2016,0.94,24000,Petrol,Individual,Manual,0
2015,10.79,41678,Diesel,Dealer,Manual,0
2016,0.55,31000,Petrol,Individual,Manual,0
2015,8.92,42367,Diesel,Dealer,Manual,0
2011,4.15,5200,Petrol,Dealer,Manual,0
2014,14.0,63000,Diesel,Dealer,Manual,0
2013,30.61,135000,Diesel,Individual,Automatic,0
2008,22.78,89000,Petrol,Dealer,Automatic,0
2014,3.46,45280,Petrol,Dealer,Manual,0
2017,5.71,2400,Petrol,Dealer,Manual,0
2016,0.57,24000,Petrol,Individual,Automatic,0
2011,4.89,54200,Petrol,Dealer,Manual,0
2016,0.54,500,Petrol,Individual,Automatic,0
2012,0.99,14500,Petrol,Individual,Manual,0
2012,4.43,23709,Petrol,Dealer,Manual,0
2017,12.5,9000,Diesel,Dealer,Manual,0
2011,12.48,45000,Diesel,Dealer,Manual,0
2015,13.6,34000,Petrol,Dealer,Manual,0
2013,14.68,72000,Petrol,Dealer,Manual,0
2013,0.51,32000,Petrol,Individual,Manual,0
2013,1.47,46500,Petrol,Individual,Manual,0
2013,6.05,47000,Petrol,Dealer,Manual,0
2014,16.09,58242,Diesel,Dealer,Manual,0
2016,11.6,33988,Diesel,Dealer,Manual,0
2011,7.74,49998,CNG,Dealer,Manual,0
2011,4.99,20000,Petrol,Dealer,Manual,0
2013,9.4,45000,Diesel,Dealer,Manual,0
2015,8.12,18796,Petrol,Dealer,Manual,0
2015,0.82,18000,Petrol,Individual,Manual,0
2014,8.93,83000,Diesel,Dealer,Manual,0
2016,1.78,6000,Petrol,Individual,Manual,0
2010,18.54,50000,Petrol,Dealer,Manual,0
2017,7.13,12479,Petrol,Dealer,Manual,0
2015,1.47,17000,Petrol,Individual,Manual,0
2015,13.6,21780,Petrol,Dealer,Manual,0
2013,5.7,53000,Diesel,Dealer,Manual,0
2011,0.787,75000,Petrol,Individual,Manual,0
2010,6.79,58000,Diesel,Dealer,Manual,1
2013,18.61,56001,Petrol,Dealer,Manual,0
2016,1.17,6000,Petrol,Individual,Manual,0
2014,9.9,48000,Diesel,Dealer,Manual,0
2014,0.99,25000,Petrol,Individual,Manual,0
2014,2.4,7000,Petrol,Individual,Manual,0
2014,0.826,23000,Petrol,Individual,Manual,0
2017,5.7,20114,Petrol,Dealer,Manual,0
2015,10.38,45000,Diesel,Dealer,Manual,0
2013,1.2,32000,Petrol,Individual,Manual,0
2017,4.43,38488,Petrol,Dealer,Manual,0
2006,4.15,65000,Petrol,Dealer,Manual,0
2009,1.75,40000,Petrol,Individual,Manual,0
2015,7.5,44000,Petrol,Dealer,Automatic,0
2008,0.787,50000,Petrol,Individual,Manual,0
2015,7.7,40588,Petrol,Dealer,Manual,0
2017,0.87,11000,Petrol,Individual,Manual,0
2012,4.6,35775,Petrol,Dealer,Manual,0
2003,2.28,127000,Petrol,Individual,Manual,0
2014,0.64,13700,Petrol,Individual,Manual,0
2016,7.7,16002,Petrol,Dealer,Manual,0
2014,35.96,41000,Diesel,Dealer,Automatic,0
2014,6.76,40000,Petrol,Dealer,Manual,0
2015,7.71,26000,Petrol,Dealer,Manual,0
2013,5.9,9800,Petrol,Dealer,Manual,0
2017,1.47,11000,Petrol,Individual,Manual,0
2011,10.0,69341,Petrol,Dealer,Manual,0
2017,0.51,1300,Petrol,Individual,Automatic,0
2016,0.95,500,Petrol,Individual,Manual,0
2014,6.8,16500,Petrol,Dealer,Manual,0
2016,0.54,14000,Petrol,Individual,Manual,0
2014,35.96,78000,Diesel,Dealer,Automatic,0
2013,9.54,43000,Diesel,Dealer,Manual,0
2010,7.5,61203,Petrol,Dealer,Manual,0
2015,1.47,17500,Petrol,Individual,Manual,0
2015,7.2,48767,Petrol,Dealer,Manual,0
2016,5.9,5464,Petrol,Dealer,Manual,0
2015,7.27,40534,Petrol,Dealer,Manual,0
2010,20.45,59000,Diesel,Dealer,Manual,0
2015,7.13,35866,Petrol,Dealer,Manual,1
2013,9.4,36198,Petrol,Dealer,Automatic,0
2016,13.6,35934,Diesel,Dealer,Manual,0
2017,19.77,15000,Diesel,Dealer,Automatic,0
2015,9.4,36000,Petrol,Dealer,Manual,0
2016,13.6,30753,Petrol,Dealer,Automatic,0
2011,0.95,24000,Petrol,Individual,Manual,0
2016,5.7,3493,Petrol,Dealer,Manual,1
2017,0.87,3000,Petrol,Individual,Manual,0
2011,4.6,53460,Petrol,Dealer,Manual,0
2013,5.87,55138,Petrol,Dealer,Manual,0
2017,0.81,11800,Petrol,Individual,Manual,0
2015,5.7,34797,Petrol,Dealer,Automatic,0
2007,0.58,53000,Petrol,Individual,Manual,0
2015,13.6,25000,Petrol,Dealer,Manual,0
2017,9.85,6900,Petrol,Dealer,Manual,0
2017,8.1,3435,Petrol,Dealer,Manual,0
2008,0.75,26000,Petrol,Individual,Manual,1
2008,0.52,500000,Petrol,Individual,Automatic,0
2014,6.8,39485,Petrol,Dealer,Manual,1
2012,1.75,11500,Petrol,Individual,Manual,0
2013,1.9,5400,Petrol,Individual,Manual,0
2016,0.55,1000,Petrol,Individual,Manual,0
2011,0.57,35000,Petrol,Individual,Manual,1
2014,5.59,27000,Petrol,Dealer,Manual,0
2017,6.49,16200,Petrol,Individual,Manual,0
2015,0.72,38600,Petrol,Individual,Manual,0
2015,5.9,60000,Petrol,Dealer,Manual,0
2015,30.61,40000,Diesel,Dealer,Automatic,0
2013,18.61,40001,Petrol,Dealer,Manual,0
2014,6.95,45000,Diesel,Dealer,Manual,0
2015,7.85,40000,Diesel,Dealer,Manual,0
2016,8.4,12000,Petrol,Dealer,Manual,0
2010,0.52,22000,Petrol,Individual,Automatic,0
2017,25.39,15000,Diesel,Dealer,Automatic,0
2015,35.96,47000,Diesel,Dealer,Automatic,0
2015,13.6,24800,Petrol,Dealer,Manual,0
2016,14.89,23000,Diesel,Dealer,Manual,0
2015,5.7,24678,Petrol,Dealer,Manual,0
2009,7.21,77427,Petrol,Dealer,Manual,0
2010,3.95,44542,Petrol,Dealer,Manual,0
2014,8.06,45780,Diesel,Dealer,Manual,0
2012,6.79,35000,Petrol,Dealer,Manual,0
2009,15.04,70000,Petrol,Dealer,Automatic,0
2006,23.73,142000,Petrol,Individual,Automatic,3
2016,10.79,43000,Diesel,Dealer,Manual,0
2012,6.79,52132,Diesel,Dealer,Manual,0
2017,0.51,4000,Petrol,Individual,Automatic,0
2014,0.81,42000,Petrol,Individual,Manual,0
2014,1.2,23500,Petrol,Individual,Manual,0
2017,18.64,8700,Petrol,Dealer,Manual,0
2013,6.79,32000,Petrol,Dealer,Automatic,0
2014,7.49,39000,Diesel,Dealer,Manual,0
2017,0.95,3500,Petrol,Individual,Manual,0
2013,9.9,56701,Petrol,Dealer,Manual,0
2013,0.65,24000,Petrol,Individual,Manual,1
2015,14.79,43535,Diesel,Dealer,Manual,0
2016,9.4,19434,Diesel,Dealer,Manual,0
2006,0.75,92233,Petrol,Individual,Manual,0
2012,2.69,50000,Petrol,Dealer,Manual,0
2016,25.39,29000,Diesel,Dealer,Automatic,0
2017,0.95,1300,Petrol,Individual,Manual,0
2010,92.6,78000,Diesel,Dealer,Manual,0
2008,7.15,58000,Petrol,Dealer,Manual,0
2010,0.51,33000,Petrol,Individual,Manual,0
2010,9.9,38000,Petrol,Dealer,Manual,0
2016,10.79,43000,Diesel,Dealer,Manual,0
2013,0.787,16000,Petrol,Individual,Manual,0
2014,9.95,45000,Diesel,Dealer,Manual,0
2012,0.51,60000,Petrol,Individual,Manual,0
2016,4.43,11849,Petrol,Dealer,Manual,0
2016,1.4,35000,Petrol,Individual,Manual,0
2014,7.6,77632,Diesel,Dealer,Manual,0
2015,10.0,18828,Petrol,Dealer,Manual,0
2012,0.83,5500,Petrol,Individual,Manual,0
2017,0.52,15000,Petrol,Individual,Manual,0
2016,0.87,15000,Petrol,Individual,Manual,0
2013,0.57,18000,Petrol,Individual,Manual,0
2015,14.79,12900,Petrol,Dealer,Automatic,0
2012,5.98,51439,Diesel,Dealer,Manual,0
2016,7.6,7000,Petrol,Dealer,Manual,0
2016,4.43,12500,Petrol,Dealer,Manual,0
2017,36.23,6000,Diesel,Dealer,Automatic,0
2011,1.05,30000,Petrol,Individual,Manual,0
2011,4.43,57000,Petrol,Dealer,Manual,0
2010,1.05,213000,Petrol,Individual,Manual,0
2013,4.6,30000,Petrol,Dealer,Manual,0
2010,22.83,80000,Petrol,Dealer,Automatic,0
2015,0.95,16600,Petrol,Individual,Manual,0
2015,5.7,4492,Petrol,Dealer,Manual,0
2015,5.7,21125,Diesel,Dealer,Manual,0
2015,5.9,14465,Petrol,Dealer,Manual,0
2009,10.0,69562,Petrol,Dealer,Manual,0
2015,13.6,40324,Petrol,Dealer,Manual,0
2011,13.74,88000,Petrol,Dealer,Manual,0
2012,30.61,104707,Diesel,Dealer,Automatic,0
2016,7.9,28569,Petrol,Dealer,Manual,0
2016,13.6,29223,Petrol,Dealer,Manual,0
2016,0.8,7000,Petrol,Individual,Manual,0
2015,0.84,23000,Petrol,Individual,Manual,0
2013,4.89,64532,Petrol,Dealer,Manual,0
2014,9.4,45078,Petrol,Dealer,Manual,0
2017,1.47,4100,Petrol,Individual,Manual,0
2016,7.6,17000,Petrol,Dealer,Manual,0
2012,13.74,56000,Petrol,Dealer,Manual,0
2015,5.8,40023,Petrol,Dealer,Manual,0
2010,0.94,45000,Petrol,Individual,Manual,0
2016,1.26,5700,Petrol,Individual,Manual,0
2014,0.52,19000,Petrol,Individual,Automatic,0
2015,0.74,5000,Petrol,Individual,Manual,0
2015,6.1,31427,Petrol,Dealer,Manual,0
2016,3.76,10079,Petrol,Dealer,Manual,0
2016,0.48,50000,Petrol,Individual,Manual,0
2016,0.8,20000,Petrol,Individual,Manual,0
2013,0.58,30000,Petrol,Individual,Manual,0
